file,w,h,maxAbsR,maxAbsG,maxAbsB,maxAbsA,mae_rgb,mae_a,rmse_rgb,pctPixelsDiff,pctPixelsDiff_1e3,ssim_luma,worstX,worstY,nonFiniteLeft,nonFiniteRight
audiovis/pixels/audiovis.spec.fft.100-nonpow2_s1_t5.75_preview_con.raw,256,144,1,1,1,1,0.00587138,0.00587138,0.0681298,1.01183,1.01183,0.971166,115,72,0,0
audiovis/pixels/audiovis.spec.fft.100-nonpow2_s2_t5.75_export_con.raw,512,288,1,1,1,1,0.00583599,0.00583599,0.0714251,0.809055,0.809055,0.980026,101,112,0,0
audiovis/pixels/audiovis.spec.fft.100-nonpow2_s2_t5.75_preview_con.raw,512,288,1,1,1,1,0.00583599,0.00583599,0.0714251,0.809055,0.809055,0.980026,101,112,0,0
audiovis/pixels/audiovis.spec.fft.1024_s0.5_t5.75_export_con.raw,128,72,0.359375,0.359375,0.359375,0.359375,0.000122567,0.000122567,0.00466003,0.119358,0.119358,0.999927,53,64,0,0
audiovis/pixels/audiovis.spec.fft.1024_s0.5_t5.75_preview_con.raw,128,72,0.359375,0.359375,0.359375,0.359375,0.000122567,0.000122567,0.00466003,0.119358,0.119358,0.999927,53,64,0,0
audiovis/pixels/audiovis.spec.fft.1024_s1_t5.75_export_con.raw,256,144,0.710938,0.710938,0.710938,0.710938,0.000102202,0.000102202,0.00685896,0.0271267,0.0271267,0.999849,108,130,0,0
audiovis/pixels/audiovis.spec.fft.1024_s1_t5.75_preview_con.raw,256,144,0.710938,0.710938,0.710938,0.710938,0.000102202,0.000102202,0.00685896,0.0271267,0.0271267,0.999849,108,130,0,0
audiovis/pixels/audiovis.spec.fft.1024_s2_t5.75_export_con.raw,512,288,1,1,1,1,9.64006E-05,9.64006E-05,0.00797046,0.0169542,0.0169542,0.999826,216,260,0,0
audiovis/pixels/audiovis.spec.fft.1024_s2_t5.75_preview_con.raw,512,288,1,1,1,1,9.64006E-05,9.64006E-05,0.00797046,0.0169542,0.0169542,0.999826,216,260,0,0
audiovis/pixels/audiovis.spec.fft.128_s0.5_t5.75_export_con.raw,128,72,0.981445,0.981445,0.981445,0.981445,0.00574527,0.00574527,0.0593335,1.5408,1.5408,0.971057,118,54,0,0
audiovis/pixels/audiovis.spec.fft.128_s0.5_t5.75_preview_con.raw,128,72,0.981445,0.981445,0.981445,0.981445,0.00574527,0.00574527,0.0593335,1.5408,1.5408,0.971057,118,54,0,0
audiovis/pixels/audiovis.spec.fft.128_s1_t5.75_export_con.raw,256,144,1,1,1,1,0.00587138,0.00587138,0.0681298,1.01183,1.01183,0.971166,115,72,0,0
audiovis/pixels/audiovis.spec.fft.128_s1_t5.75_preview_con.raw,256,144,1,1,1,1,0.00587138,0.00587138,0.0681298,1.01183,1.01183,0.971166,115,72,0,0
audiovis/pixels/audiovis.spec.fft.128_s2_t5.75_export_con.raw,512,288,1,1,1,1,0.00583599,0.00583599,0.0714251,0.809055,0.809055,0.980026,101,112,0,0
audiovis/pixels/audiovis.spec.fft.128_s2_t5.75_preview_con.raw,512,288,1,1,1,1,0.00583599,0.00583599,0.0714251,0.809055,0.809055,0.980026,101,112,0,0
audiovis/pixels/audiovis.spec.fft.256_s0.5_t5.75_export_con.raw,128,72,0.993652,0.993652,0.993652,0.993652,0.00509318,0.00509318,0.057574,1.30208,1.30208,0.958071,72,48,0,0
audiovis/pixels/audiovis.spec.fft.256_s0.5_t5.75_preview_con.raw,128,72,0.993652,0.993652,0.993652,0.993652,0.00509318,0.00509318,0.057574,1.30208,1.30208,0.958071,72,48,0,0
audiovis/pixels/audiovis.spec.fft.256_s1_t5.75_export_con.raw,256,144,1,1,1,1,0.00517492,0.00517492,0.0640696,0.895182,0.887044,0.97192,80,80,0,0
audiovis/pixels/audiovis.spec.fft.256_s1_t5.75_preview_con.raw,256,144,1,1,1,1,0.00517492,0.00517492,0.0640696,0.895182,0.887044,0.97192,80,80,0,0
audiovis/pixels/audiovis.spec.fft.256_s2_t5.75_export_con.raw,512,288,1,1,1,1,0.00512359,0.00512359,0.0673983,0.705973,0.705295,0.981761,159,160,0,0
audiovis/pixels/audiovis.spec.fft.256_s2_t5.75_preview_con.raw,512,288,1,1,1,1,0.00512359,0.00512359,0.0673983,0.705973,0.705295,0.981761,159,160,0,0
audiovis/pixels/audiovis.spec.fill.brush-opacity-40_s0.5_t5.75_export_con.raw,128,72,0.199219,0.0118561,0,0.199219,1.5325E-05,4.33922E-05,0.00147359,0.0325521,0.0325521,0.999879,53,65,0,0
audiovis/pixels/audiovis.spec.fill.brush-opacity-40_s0.5_t5.75_preview_con.raw,128,72,0.199219,0.0118561,0,0.199219,1.5325E-05,4.33922E-05,0.00147359,0.0325521,0.0325521,0.999879,53,65,0,0
audiovis/pixels/audiovis.spec.fill.brush-opacity-40_s1_t5.75_export_con.raw,256,144,0.200684,0.0119476,0,0.200684,1.34023E-05,3.79483E-05,0.00159278,0.0189887,0.0189887,0.999831,105,129,0,0
audiovis/pixels/audiovis.spec.fill.brush-opacity-40_s1_t5.75_preview_con.raw,256,144,0.200684,0.0119476,0,0.200684,1.34023E-05,3.79483E-05,0.00159278,0.0189887,0.0189887,0.999831,105,129,0,0
audiovis/pixels/audiovis.spec.fill.brush-opacity-40_s2_t5.75_export_con.raw,512,288,0.399902,0.0235291,0,0.399902,1.3457E-05,3.81278E-05,0.00182326,0.0298394,0.0298394,0.99988,210,259,0,0
audiovis/pixels/audiovis.spec.fill.brush-opacity-40_s2_t5.75_preview_con.raw,512,288,0.399902,0.0235291,0,0.399902,1.3457E-05,3.81278E-05,0.00182326,0.0298394,0.0298394,0.99988,210,259,0,0
